productId,name,cleanName,imageUrl,categoryId,groupId,url,modifiedOn,imageCount,extRarity,extNumber,extEnergyCost,extPowerCost,extMight,extCardType,extTag,extDomain,extFlavorText,lowPrice,midPrice,highPrice,marketPrice,directLowPrice,subTypeName
668439,"Heimerdinger, Inventor",Heimerdinger Inventor,https://tcgplayer-cdn.tcgplayer.com/product/668439_200w.jpg,89,24552,https://cpt.tcgcsv.com/Pnm7,2026-08-12T20:31:25.087,0,Promo,111/298,3,1,3,Champion Unit,Heimerdinger;Piltover;Yordle,Mind,"<em>""I do love a good conundrum.""</em>",,,,,,
692372,Svellsongur,Svellsongur,https://tcgplayer-cdn.tcgplayer.com/product/692372_200w.jpg,89,24552,https://cpt.tcgcsv.com/sZx7,2026-04-27T20:26:59.887,1,Promo,059/221,3,1,0,Gear,Equipment,Calm,"<em>""Only the greatest Freljord heroes have weapons made of True Ice!"" — Nunu</em>",190.0,193.99,199.99,189.87,,Foil
702632,Blue Sentinel,Blue Sentinel,https://tcgplayer-cdn.tcgplayer.com/product/702632_200w.jpg,89,24552,https://cpt.tcgcsv.com/G3F7,2026-06-26T11:36:52.87,1,Promo,087/219,4,1,4,Unit,Mount Targon,Mind,,799.99,1999.5,8999.99,362.29,,Foil
