productId,name,cleanName,imageUrl,categoryId,groupId,url,modifiedOn,imageCount,lowPrice,midPrice,highPrice,marketPrice,directLowPrice,subTypeName
714486,Gift of the Rift Bundle,Gift of the Rift Bundle,https://tcgplayer-cdn.tcgplayer.com/product/714486_200w.jpg,89,24861,https://cpt.tcgcsv.com/LPK7,2026-09-10T14:31:25.987,1,288.87,288.88,289.0,288.16,,Normal
716007,T1 Worlds Champion Player Bundle,T1 Worlds Champion Player Bundle,https://tcgplayer-cdn.tcgplayer.com/product/716007_200w.jpg,89,24861,https://cpt.tcgcsv.com/9qL7,2026-09-09T17:33:34.99,1,,,,,,
716008,T1 Worlds Champion Signature Edition Bundle,T1 Worlds Champion Signature Edition Bundle,https://tcgplayer-cdn.tcgplayer.com/product/716008_200w.jpg,89,24861,https://cpt.tcgcsv.com/bqL7,2026-09-09T17:34:23.85,1,9900.0,19950.0,19999.99,,,Normal
