productId,name,cleanName,imageUrl,categoryId,groupId,url,modifiedOn,imageCount,lowPrice,midPrice,highPrice,marketPrice,directLowPrice,subTypeName,extRarity,extNumber,extEnergyCost,extMight,extCardType,extTag,extDomain,extPowerCost
710238,Secret Garden Box,Secret Garden Box,https://tcgplayer-cdn.tcgplayer.com/product/710238_200w.jpg,89,24797,https://cpt.tcgcsv.com/N6J7,2026-08-05T16:59:03.073,1,223.75,236.99,500.0,227.32,,Normal,,,,,,,,
710873,Ultrasoft Poro,Ultrasoft Poro,https://tcgplayer-cdn.tcgplayer.com/product/710873_200w.jpg,89,24797,https://cpt.tcgcsv.com/tmJ7,2026-08-11T16:28:54.687,1,89.01,89.51,90.0,92.5,,Foil,Promo,003/003,5,5,Unit,Freljord;Poro,Order,
710874,"Lillia, Bashful Bloom",Lillia Bashful Bloom,https://tcgplayer-cdn.tcgplayer.com/product/710874_200w.jpg,89,24797,https://cpt.tcgcsv.com/vmJ7,2026-08-12T20:31:38.323,1,95.0,121.5,147.99,89.33,,Foil,Promo,001/003,0,0,Legend,Lillia,Calm;Mind,0
710875,"Ivern, Green Father",Ivern Green Father,https://tcgplayer-cdn.tcgplayer.com/product/710875_200w.jpg,89,24797,https://cpt.tcgcsv.com/wmJ7,2026-08-12T20:31:31.207,1,69.99,71.0,80.0,69.95,,Foil,Promo,002/003,0,0,Legend,Ivern,Calm;Order,0
